uniprot_id,gene_id,gene_name,length,location,original_locations
P36131,YKR037C,SPC34,295,Nucleus,"Nucleus; Cytoplasm, cytoskeleton, spindle; Chromosome, centromere, kinetochore; Chromosome"
P36132,YKR038C,KAE1,386,Nucleus,Cytoplasm; Nucleus
P36135,YKR042W,UTH1,365,Mitochondria,"Mitochondrion outer membrane; Secreted, cell wall"
P36136,YKR043C,SHB17,271,Nucleus,Cytoplasm; Nucleus
P36142,YKR051W,HFL1,418,Membrane_Secretory,Vacuole membrane
P36143,YKR058W,GLG1,616,Membrane_Secretory,Cytoplasm; Vacuole
P36146,YKR063C,LAS1,502,Nucleus,Nucleus; Mitochondrion
P36148,YKR067W,GPT2,743,Membrane_Secretory,Lipid droplet; Endoplasmic reticulum membrane
P36149,YKR068C,BET3,193,Membrane_Secretory,"Golgi apparatus, cis-Golgi network; Endoplasmic reticulum; Preautophagosomal structure"
P36152,YKR071C,DRE2,348,Mitochondria,Cytoplasm; Mitochondrion intermembrane space
P36156,YKR076W,ECM4,370,Cytoplasm,Cytoplasm
P36160,YKR081C,RPF2,344,Nucleus,"Nucleus, nucleolus"
P36161,YKR082W,NUP133,1157,Nucleus,"Nucleus, nuclear pore complex; Nucleus membrane; Nucleus membrane"
P36162,YKR083C,DAD2,133,Nucleus,"Nucleus; Cytoplasm, cytoskeleton, spindle; Chromosome, centromere, kinetochore; Chromosome"
P36163,YKR087C,OMA1,345,Mitochondria,Mitochondrion inner membrane
P36165,YKR089C,TGL4,910,Membrane_Secretory,Lipid droplet
P36170,YKR102W,FLO10,1169,Membrane_Secretory,"Secreted, cell wall; Membrane"
P36421,YGR185C,TYS1,394,Nucleus,Cytoplasm; Nucleus
P36516,YMR024W,MRPL3,390,Mitochondria,Mitochondrion
P36517,YLR439W,MRPL4,319,Mitochondria,Mitochondrion
P36520,YNL284C,MRPL10,322,Mitochondria,Mitochondrion
P36525,YMR193W,MRPL24,258,Mitochondria,Mitochondrion
P36528,YNL252C,MRPL17,281,Mitochondria,Mitochondrion
P36531,YBR122C,MRPL36,177,Mitochondria,Mitochondrion
P36775,YBL022C,PIM1,1133,Mitochondria,Mitochondrion matrix
P37012,YMR105C,PGM2,569,Cytoplasm,Cytoplasm
P37020,YJR040W,GEF1,779,Membrane_Secretory,Golgi apparatus membrane; Endosome membrane; Prevacuolar compartment membrane
P37291,YLR058C,SHM2,469,Cytoplasm,Cytoplasm
P37292,YBR263W,SHM1,490,Mitochondria,Mitochondrion
P37296,YMR054W,STV1,890,Membrane_Secretory,Endosome membrane; Golgi apparatus membrane
P37298,YDR178W,SDH4,181,Mitochondria,Mitochondrion inner membrane
P37299,YHR001W-A,QCR10,77,Mitochondria,Mitochondrion inner membrane
P37370,YLR337C,VRP1,817,Cytoplasm,"Cytoplasm, cytoskeleton"
P37838,YPL043W,NOP4,685,Nucleus,"Nucleus, nucleolus"
P38009,YMR120C,ADE17,592,Cytoplasm,"Cytoplasm, cytosol"
P38011,YMR116C,ASC1,319,Cytoplasm,Cytoplasm
P38013,YLR109W,AHP1,176,Cytoplasm,Cytoplasm
P38041,YBL085W,BOI1,980,Cytoplasm,Bud; Bud neck
P38042,YBL084C,CDC27,758,Nucleus,Cytoplasm; Nucleus
P38063,YBL068W,PRS4,326,Cytoplasm,Cytoplasm
P38067,YBR006W,UGA2,497,Cytoplasm,Cytoplasm
P38069,YBR015C,MNN2,597,Membrane_Secretory,Golgi apparatus membrane
P38070,YBR028C,YPK3,525,Cytoplasm,Cytoplasm
P38071,YBR026C,ETR1,380,Mitochondria,Mitochondrion matrix
P38074,YBR034C,HMT1,348,Nucleus,Nucleus
P38075,YBR035C,PDX3,228,Mitochondria,Mitochondrion intermembrane space
P38077,YBR039W,ATP3,311,Mitochondria,Mitochondrion; Mitochondrion inner membrane
P38084,YBR068C,BAP2,609,Membrane_Secretory,Cell membrane
P38085,YBR069C,TAT1,619,Membrane_Secretory,Membrane
P38086,YBR073W,RDH54,958,Nucleus,Nucleus
P38088,YBR121C,GRS1,690,Mitochondria,Mitochondrion matrix
P38109,YBR139W,ATG42,508,Other,Vacuole lumen
P38110,YBL088C,TEL1,2787,Nucleus,"Nucleus; Chromosome, telomere"
P38111,YBR136W,MEC1,2368,Nucleus,Nucleus
P38112,YBR142W,MAK5,773,Nucleus,"Nucleus, nucleolus"
P38115,YBR149W,ARA1,344,Cytoplasm,Cytoplasm
P38116,YBR164C,ARL1,183,Membrane_Secretory,Golgi apparatus
P38121,YBL035C,POL12,705,Nucleus,Nucleus
P38123,YBR175W,SWD3,315,Nucleus,"Nucleus; Chromosome, telomere"
P38125,YBR180W,DTR1,572,Other,Prospore membrane
P38127,YBR192W,RIM2,377,Mitochondria,Mitochondrion inner membrane
P38128,YBR182C,SMP1,452,Nucleus,Nucleus
P38129,YBR198C,TAF5,798,Nucleus,Nucleus
P38130,YBR205W,KTR3,404,Membrane_Secretory,Membrane
P38132,YBR202W,MCM7,845,Nucleus,Cytoplasm; Nucleus
P38137,YBR222C,PCS60,543,Membrane_Secretory,Peroxisome matrix; Peroxisome membrane
P38138,YBR229C,ROT2,954,Membrane_Secretory,Endoplasmic reticulum
P38139,YBR204C,LDH1,375,Membrane_Secretory,Lipid droplet
P38140,YBR239C,ERT1,529,Nucleus,Cytoplasm; Nucleus
P38143,YBR244W,GPX2,162,Nucleus,Cytoplasm; Nucleus; Mitochondrion outer membrane; Mitochondrion inner membrane
P38144,YBR245C,ISW1,1129,Nucleus,Nucleus
P38146,YBR264C,YPT10,199,Membrane_Secretory,Cell membrane; Vesicle
P38147,YBR274W,CHK1,527,Nucleus,Nucleus
P38149,YBR281C,DUG2,878,Nucleus,Cytoplasm; Nucleus
P38153,YBR288C,APM3,483,Membrane_Secretory,Golgi apparatus; Cytoplasmic vesicle membrane
P38165,YBL103C,RTG3,486,Nucleus,Nucleus
P38167,YBL101C,ECM21,1117,Cytoplasm,Cytoplasm
P38169,YBL098W,BNA4,460,Mitochondria,Mitochondrion outer membrane
P38170,YBL097W,BRN1,754,Nucleus,Nucleus; Cytoplasm; Chromosome
P38174,YBL091C,MAP2,421,Cytoplasm,Cytoplasm
P38181,YBL079W,NUP170,1502,Nucleus,"Nucleus, nuclear pore complex; Nucleus membrane; Nucleus membrane"
P38182,YBL078C,ATG8,117,Mitochondria,"Cytoplasmic vesicle, cvt vesicle membrane; Cytoplasmic vesicle, autophagosome membrane; Vacuole membrane; Mitochondrion membrane"
P38193,YBL046W,PSY4,441,Nucleus,Nucleus
P38198,YBL034C,STU1,1513,Nucleus,"Nucleus; Cytoplasm, cytoskeleton, spindle; Cytoplasm, cytoskeleton; Chromosome, centromere, kinetochore"
P38199,YBL032W,HEK2,381,Nucleus,"Cytoplasm; Cytoplasm, P-body; Nucleus; Chromosome, telomere"
P38200,YBL031W,SHE1,338,Cytoplasm,"Cytoplasm, cytoskeleton; Cytoplasm, cytoskeleton, spindle; Bud neck"
P38203,YBL026W,LSM2,95,Nucleus,"Nucleus, nucleolus; Cytoplasm"
P38205,YBL024W,NCL1,684,Nucleus,"Nucleus, nucleolus"
P38207,YBL019W,APN2,520,Nucleus,Nucleus
P38208,YBL018C,POP8,133,Nucleus,Nucleus
P38211,YBR004C,GPI18,433,Membrane_Secretory,Endoplasmic reticulum membrane
P38212,YBR005W,RCR1,213,Membrane_Secretory,Endoplasmic reticulum membrane
P38217,YBR017C,KAP104,918,Nucleus,"Cytoplasm; Nucleus, nuclear pore complex; Nucleus"
P38221,YBR029C,CDS1,457,Membrane_Secretory,"Endoplasmic reticulum membrane; Cytoplasmic vesicle, secretory vesicle"
P38225,YBR041W,FAT1,669,Membrane_Secretory,Lipid droplet; Cell membrane; Peroxisome membrane; Peroxisome
P38227,YBR043C,QDR3,689,Membrane_Secretory,Cell membrane
P38228,YBR044C,TCM62,572,Mitochondria,Mitochondrion inner membrane
P38230,YBR046C,ZTA1,334,Cytoplasm,"Cytoplasm, cytosol"
P38236,YBR057C,MUM2,366,Nucleus,"Cytoplasm; Nucleus, nucleolus"
P38237,YBR058C,UBP14,781,Nucleus,Cytoplasm; Nucleus
P38238,YBR061C,TRM7,310,Cytoplasm,Cytoplasm
P38241,YBR065C,ECM2,364,Nucleus,Nucleus
P38242,YBR070C,ALG14,237,Nucleus,Endoplasmic reticulum membrane; Nucleus membrane
P38244,YBR074W,PFF1,976,Membrane_Secretory,Vacuole membrane
P38247,YBR077C,SLM4,162,Membrane_Secretory,Vacuole membrane
P38248,YBR078W,ECM33,429,Membrane_Secretory,"Cell membrane; Secreted, cell wall"
P38249,YBR079C,RPG1,964,Cytoplasm,Cytoplasm
P38250,YBR086C,IST2,946,Membrane_Secretory,Cell membrane
P38251,YBR087W,RFC5,354,Nucleus,Nucleus
P38255,YBR095C,RXT2,430,Nucleus,Nucleus
P38257,YBR098W,MMS4,691,Nucleus,Nucleus
P38260,YBR101C,FES1,290,Cytoplasm,Cytoplasm
P38261,YBR102C,EXO84,753,Cytoplasm,"Cytoplasmic vesicle, secretory vesicle; Bud; Bud neck"
P38262,YBR103W,SIF2,535,Nucleus,Nucleus
P38263,YBR105C,VID24,362,Other,Cytoplasmic vesicle membrane
P38264,YBR106W,PHO88,188,Mitochondria,Endoplasmic reticulum membrane; Mitochondrion
P38265,YBR107C,IML3,245,Nucleus,"Nucleus; Chromosome, centromere, kinetochore"
P38266,YBR108W,AIM3,947,Other,Membrane raft
P38270,YBR128C,ATG14,344,Membrane_Secretory,Preautophagosomal structure membrane; Vacuole membrane
P38271,YBR129C,OPY1,328,Membrane_Secretory,Cell membrane; Cytoplasm
P38272,YBR130C,SHE3,425,Membrane_Secretory,Endoplasmic reticulum membrane
P38273,YBR131W,CCZ1,704,Membrane_Secretory,"Endosome, multivesicular body membrane; Prevacuolar compartment membrane; Vacuole membrane; Vesicle"
P38274,YBR133C,HSL7,827,Cytoplasm,Bud neck
P38279,YBR147W,RTC2,296,Mitochondria,Vacuole membrane; Mitochondrion membrane
P38282,YBR152W,SPP381,291,Nucleus,Nucleus
P38283,YBR156C,SLI15,698,Nucleus,"Nucleus; Cytoplasm, cytoskeleton, spindle; Chromosome, centromere, kinetochore"
P38285,YBR158W,AMN1,549,Nucleus,Cytoplasm; Nucleus
P38286,YBR159W,IFA38,347,Membrane_Secretory,Endoplasmic reticulum membrane
P38287,YBR161W,CSH1,376,Membrane_Secretory,Vacuole membrane
P38289,YBR163W,EXO5,585,Mitochondria,Mitochondrion
P38291,YBR167C,POP7,140,Nucleus,Nucleus
P38297,YBR179C,FZO1,855,Mitochondria,Mitochondrion outer membrane
P38298,YBR183W,YPC1,316,Membrane_Secretory,Endoplasmic reticulum membrane
P38300,YBR185C,MBA1,278,Mitochondria,Mitochondrion inner membrane
P38301,YBR187W,GDT1,280,Other,"Golgi apparatus, cis-Golgi network membrane"
P38302,YBR188C,NTC20,140,Nucleus,Nucleus
P38304,YBR193C,MED8,223,Nucleus,Nucleus
P38307,YBR201W,DER1,211,Membrane_Secretory,Endoplasmic reticulum membrane
P38310,YBR207W,FTH1,465,Membrane_Secretory,Vacuole membrane
P38313,YBR211C,AME1,324,Nucleus,"Nucleus; Chromosome, centromere, kinetochore"
P38316,YBR217W,ATG12,186,Other,Preautophagosomal structure membrane
P38319,YBR223C,TDP1,544,Nucleus,Nucleus
P38323,YBR227C,MCX1,520,Mitochondria,Mitochondrion inner membrane
P38324,YBR228W,SLX1,304,Nucleus,Nucleus
P38326,YBR231C,SWC5,303,Nucleus,Nucleus
P38328,YBR234C,ARC40,384,Other,"Cytoplasm, cytoskeleton, actin patch"
P38329,YBR235W,VHC1,1120,Membrane_Secretory,Vacuole membrane
P38332,YBR246W,RRT2,387,Membrane_Secretory,Cytoplasm; Endosome
P38333,YBR247C,ENP1,483,Nucleus,"Cytoplasm; Nucleus, nucleolus"
P38334,YBR254C,TRS20,175,Membrane_Secretory,"Golgi apparatus, cis-Golgi network; Endoplasmic reticulum; Preautophagosomal structure"
P38336,YBR257W,POP4,279,Nucleus,Nucleus
P38339,YBR260C,RGD1,666,Cytoplasm,Cytoplasm
P38340,YBR261C,TAE1,232,Cytoplasm,Cytoplasm
P38341,YBR262C,MIC12,106,Mitochondria,Mitochondrion inner membrane
P38342,YBR265W,TSC10,320,Membrane_Secretory,Endoplasmic reticulum membrane
P38344,YBR267W,REI1,393,Cytoplasm,Cytoplasm
P38345,YBR269C,SDH8,138,Mitochondria,Mitochondrion matrix
P38348,YBR272C,HSM3,480,Cytoplasm,Cytoplasm
P38351,YBR279W,PAF1,445,Other,"Nucleus, nucleoplasm"
P38353,YBR283C,SSH1,490,Membrane_Secretory,Endoplasmic reticulum membrane
P38356,YBR290W,BSD2,321,Membrane_Secretory,Endoplasmic reticulum; Vacuole; Membrane
P38360,YBR295W,PCA1,1216,Membrane_Secretory,Cell membrane
P38361,YBR296C,PHO89,574,Membrane_Secretory,Cell membrane
P38426,YMR261C,TPS3,1054,Cytoplasm,Cytoplasm
P38427,YML100W,TSL1,1098,Cytoplasm,Cytoplasm
P38428,YMR264W,CUE1,203,Membrane_Secretory,Endoplasmic reticulum membrane
P38429,YMR263W,SAP30,201,Nucleus,Nucleus
P38439,YOR123C,LEO1,464,Other,"Nucleus, nucleoplasm"
P38523,YOR232W,MGE1,228,Mitochondria,Mitochondrion matrix
P38555,YER031C,YPT31,223,Membrane_Secretory,Golgi apparatus membrane
P38604,YHR072W,ERG7,731,Membrane_Secretory,Lipid droplet; Endoplasmic reticulum membrane
P38623,YLR248W,RCK2,610,Cytoplasm,Cytoplasm
P38624,YJL001W,PRE3,215,Nucleus,Cytoplasm; Nucleus
P38626,YIL043C,CBR1,284,Mitochondria,Mitochondrion outer membrane
P38627,YJR103W,URA8,578,Cytoplasm,Cytoplasm
P38628,YEL058W,PCM1,557,Nucleus,Cytoplasm; Nucleus
P38629,YNL290W,RFC3,340,Nucleus,Nucleus
P38630,YOR217W,RFC1,861,Nucleus,Nucleus
P38631,YLR342W,FKS1,1876,Mitochondria,Mitochondrion; Cell membrane
P38632,YEL019C,MMS21,267,Nucleus,Nucleus; Cytoplasm
P38633,YGL127C,SOH1,127,Nucleus,Nucleus
P38634,YLR079W,SIC1,284,Nucleus,Cytoplasm; Nucleus
P38636,YNL259C,ATX1,73,Cytoplasm,Cytoplasm
P38637,YIR011C,STS1,319,Nucleus,Cytoplasm; Nucleus
P38682,YER122C,GLO3,493,Membrane_Secretory,Golgi apparatus
P38687,YPL243W,SRP68,599,Nucleus,"Cytoplasm; Nucleus, nucleolus"
P38688,YPL210C,SRP72,640,Nucleus,"Cytoplasm; Endoplasmic reticulum membrane; Nucleus, nucleolus"
P38689,YHL011C,PRS3,320,Cytoplasm,Cytoplasm
P38691,YHR082C,KSP1,1029,Nucleus,Nucleus
P38695,YHR096C,HXT5,592,Membrane_Secretory,Membrane
P38696,YHR129C,ARP1,384,Membrane_Secretory,"Cytoplasm, cytoskeleton; Membrane"
P38697,YHR216W,IMD2,523,Cytoplasm,Cytoplasm
P38700,YHL019C,APM2,605,Membrane_Secretory,"Golgi apparatus membrane; Early endosome membrane; Cytoplasmic vesicle, clathrin-coated vesicle membrane"
P38701,YHL015W,RPS20,121,Cytoplasm,Cytoplasm
P38703,YHL003C,LAG1,411,Membrane_Secretory,Endoplasmic reticulum membrane
P38704,YHR006W,STP2,541,Nucleus,Cell membrane; Nucleus
P38710,YHR046C,INM1,295,Nucleus,Cytoplasm; Nucleus
P38711,YHR021C,RPS27B,82,Cytoplasm,Cytoplasm
P38712,YHR065C,RRP3,501,Nucleus,Nucleus
P38713,YHR073W,OSH3,996,Membrane_Secretory,Cytoplasm; Endoplasmic reticulum membrane
P38715,YHR104W,GRE3,327,Nucleus,Cytoplasm; Nucleus
P38717,YNL257C,SIP3,1229,Membrane_Secretory,Endoplasmic reticulum membrane
P38719,YHR169W,DBP8,431,Nucleus,"Nucleus, nucleolus"
P38720,YHR183W,GND1,489,Cytoplasm,Cytoplasm
P38731,YHL040C,ARN1,627,Membrane_Secretory,Cell membrane; Endosome membrane
P38736,YHL031C,GOS1,223,Membrane_Secretory,Golgi apparatus membrane
P38737,YHL030W,ECM29,1868,Nucleus,Cytoplasm; Nucleus
P38742,YHL023C,NPR3,1146,Membrane_Secretory,Vacuole membrane
P38753,YHL002W,HSE1,452,Membrane_Secretory,Endosome membrane
P38754,YHL001W,RPL14B,138,Cytoplasm,Cytoplasm
P38755,YHR001W,OSH7,437,Membrane_Secretory,Cytoplasm; Cell membrane; Endoplasmic reticulum membrane
P38757,YHR004C,NEM1,446,Nucleus,Endoplasmic reticulum membrane; Nucleus membrane
P38758,YHR009C,TDA3,523,Cytoplasm,Cytoplasm; Late endosome
P38766,YHR031C,RRM3,723,Nucleus,"Nucleus; Chromosome, telomere"
P38768,YHR034C,PIH1,344,Nucleus,Cytoplasm; Nucleus
P38770,YHR036W,BRL1,471,Nucleus,Nucleus membrane
P38778,YHR050W,SMF2,549,Membrane_Secretory,Vacuole lumen; Vesicle; Cell membrane
P38779,YHR052W,CIC1,376,Nucleus,"Nucleus, nucleolus"
P38781,YHR056C,RSC30,883,Nucleus,Nucleus
P38782,YHR058C,MED6,295,Nucleus,Nucleus
P38785,YHR061C,GIC1,314,Cytoplasm,"Bud neck; Bud tip; Cytoplasm, cell cortex; Cytoplasm, cytoskeleton"
P38786,YHR062C,RPP1,293,Nucleus,Nucleus
P38788,YHR064C,SSZ1,538,Cytoplasm,Cytoplasm
P38789,YHR066W,SSF1,453,Nucleus,"Nucleus, nucleolus"
P38792,YHR069C,RRP4,359,Nucleus,"Cytoplasm; Nucleus, nucleolus"
P38793,YHR070W,TRM5,499,Nucleus,Mitochondrion matrix; Nucleus; Cytoplasm
P38797,YHR076W,PTC7,343,Mitochondria,Mitochondrion
P38800,YHR080C,LAM4,1345,Membrane_Secretory,Endoplasmic reticulum membrane
P38801,YHR081W,LRP1,184,Nucleus,Nucleus
P38803,YHR085W,IPI1,334,Nucleus,Nucleus
P38805,YHR088W,RPF1,295,Nucleus,"Nucleus, nucleolus"
P38806,YHR090C,YNG2,282,Nucleus,Nucleus
P38810,YHR098C,SFB3,929,Membrane_Secretory,Cytoplasm; Golgi apparatus membrane; Endoplasmic reticulum membrane
P38811,YHR099W,TRA1,3744,Nucleus,Nucleus
P38815,YHR105W,YPT35,214,Membrane_Secretory,Endosome membrane; Vacuole membrane
P38817,YHR108W,GGA2,585,Other,"Golgi apparatus, trans-Golgi network"
P38820,YHR111W,UBA4,440,Cytoplasm,"Cytoplasm, cytosol"
P38821,YHR113W,APE4,490,Cytoplasm,Cytoplasm; Vacuole lumen
P38822,YHR114W,BZZ1,633,Other,"Cytoplasm, cytoskeleton, actin patch"
P38823,YHR115C,DMA1,416,Cytoplasm,Cytoplasm
P38825,YHR117W,TOM71,639,Mitochondria,Mitochondrion outer membrane
P38826,YHR118C,ORC6,435,Nucleus,Nucleus
P38827,YHR119W,SET1,1080,Nucleus,Nucleus; Chromosome
P38828,YHR121W,LSM12,187,Nucleus,Cytoplasm; Nucleus
P38830,YHR124W,NDT80,627,Nucleus,Nucleus
P38836,YHR132C,ECM14,430,Membrane_Secretory,Vacuole; Secreted
P38838,YHR134W,WSS1,269,Nucleus,Nucleus
P38840,YHR137W,ARO9,513,Cytoplasm,Cytoplasm
P38843,YHR142W,CHS7,316,Membrane_Secretory,Endoplasmic reticulum membrane
P38844,YHR143W,DSE2,325,Membrane_Secretory,"Secreted, cell wall; Membrane"
P38850,YHR154W,RTT107,1070,Nucleus,Nucleus
P38851,YHR155W,LAM1,1228,Mitochondria,Mitochondrion membrane; Endoplasmic reticulum membrane
P38855,YHR160C,PEX18,283,Membrane_Secretory,Cytoplasm; Peroxisome membrane
P38856,YHR161C,YAP1801,637,Membrane_Secretory,Bud; Bud neck; Cell membrane; Cytoplasm
P38857,YHR162W,MPC2,129,Mitochondria,Mitochondrion inner membrane
P38859,YHR164C,DNA2,1522,Nucleus,Nucleus; Chromosome
P38861,YHR170W,NMD3,518,Cytoplasm,"Cytoplasm; Nucleus, nucleoplasm"
P38862,YHR171W,ATG7,630,Cytoplasm,Cytoplasm; Preautophagosomal structure
P38863,YHR172W,SPC97,823,Nucleus,"Nucleus; Cytoplasm, cytoskeleton, microtubule organizing center, spindle pole body"
P38869,YHR181W,SVP26,228,Other,"Golgi apparatus, cis-Golgi network membrane"
P38870,YHR182W,RGD3,785,Membrane_Secretory,Cytoplasmic vesicle membrane; Cell membrane; Bud tip; Bud neck
P38873,YHR186C,KOG1,1557,Membrane_Secretory,Cell membrane; Vacuole membrane
P38874,YHR187W,IKI1,309,Nucleus,Cytoplasm; Nucleus
P38875,YHR188C,GPI16,610,Membrane_Secretory,Endoplasmic reticulum membrane
P38878,YHR192W,LNP1,278,Membrane_Secretory,Endoplasmic reticulum membrane
P38879,YHR193C,EGD2,174,Nucleus,Cytoplasm; Nucleus
P38881,YHR195W,NVJ1,321,Other,Nucleus outer membrane
P38882,YHR196W,UTP9,575,Nucleus,"Nucleus, nucleolus"
P38883,YHR197W,RIX1,763,Nucleus,Nucleus
P38887,YHR202W,SMN1,602,Membrane_Secretory,Secreted; Vacuole
P38888,YHR204W,MNL1,796,Other,Endoplasmic reticulum lumen
P38889,YHR206W,SKN7,622,Nucleus,Nucleus
P38890,YHR207C,SET5,526,Nucleus,Nucleus; Chromosome; Cytoplasm
P38891,YHR208W,BAT1,393,Mitochondria,Mitochondrion matrix
P38894,YHR211W,FLO5,1075,Membrane_Secretory,"Secreted, cell wall; Membrane"
P38902,YOL005C,RPB11,120,Nucleus,Nucleus
P38903,YOR014W,RTS1,757,Nucleus,Cytoplasm; Nucleus
P38907,YDR254W,CHL4,458,Nucleus,"Nucleus; Chromosome, centromere, kinetochore"
P38910,YOR020C,HSP10,106,Mitochondria,Mitochondrion matrix
P38911,YML074C,FPR3,411,Nucleus,"Nucleus, nucleolus"
P38915,YLR055C,SPT8,602,Nucleus,Nucleus
P38920,YMR167W,MLH1,769,Nucleus,Nucleus
P38922,YNL004W,HRB1,454,Nucleus,"Cytoplasm; Nucleus; Nucleus; Cytoplasm, P-body; Cytoplasm, Stress granule"
P38925,YOL122C,SMF1,575,Membrane_Secretory,Cell membrane
P38927,YIL139C,REV7,245,Nucleus,Mitochondrion; Nucleus
P38928,YIL140W,AXL2,823,Membrane_Secretory,Cell membrane
P38929,YGL006W,PMC1,1173,Membrane_Secretory,Vacuole membrane
P38931,YDR443C,SSN2,1420,Nucleus,Nucleus
P38932,YGL095C,VPS45,577,Membrane_Secretory,Cytoplasm; Vacuole membrane
P38953,YDR076W,RAD55,406,Nucleus,Nucleus
P38954,YDR072C,IPT1,527,Membrane_Secretory,Golgi apparatus membrane
P38956,YDR073W,SNF11,169,Nucleus,Nucleus
P38959,YDR080W,VPS41,992,Membrane_Secretory,Vacuole
P38960,YDR082W,STN1,494,Other,"Chromosome, telomere"
P38961,YDR083W,RRP8,392,Nucleus,"Nucleus, nucleolus; Chromosome, telomere"
P38967,YOL020W,TAT2,592,Membrane_Secretory,Membrane
P38968,YDL195W,SEC31,1273,Membrane_Secretory,"Cytoplasmic vesicle, COPII-coated vesicle membrane; Endoplasmic reticulum membrane"
P38985,YDL092W,SRP14,146,Nucleus,Cytoplasm; Nucleus
P38989,YFR031C,SMC2,1170,Nucleus,Nucleus; Cytoplasm; Chromosome
P38990,YER129W,SAK1,1142,Cytoplasm,Cytoplasm
P38991,YPL209C,IPL1,367,Nucleus,"Nucleus; Cytoplasm, cytoskeleton, spindle; Chromosome, centromere, kinetochore"
P38992,YDR297W,SUR2,349,Membrane_Secretory,Endoplasmic reticulum membrane
P38993,YMR058W,FET3,636,Membrane_Secretory,Cell membrane
P38994,YDR208W,MSS4,779,Membrane_Secretory,Cell membrane
P38995,YDR270W,CCC2,1004,Other,"Golgi apparatus, trans-Golgi network membrane"
P38996,YPL190C,NAB3,802,Other,"Nucleus, nucleoplasm"
P38998,YIR034C,LYS1,373,Membrane_Secretory,Peroxisome
P39001,YDR207C,UME6,836,Nucleus,Nucleus
P39002,YIL009W,FAA3,694,Membrane_Secretory,Cell membrane
P39003,YDR343C,HXT6,570,Membrane_Secretory,Membrane
P39004,YDR342C,HXT7,570,Membrane_Secretory,Membrane
P39006,YNL169C,PSD1,500,Membrane_Secretory,Lipid droplet; Endoplasmic reticulum membrane
P39007,YGL022W,STT3,718,Membrane_Secretory,Endoplasmic reticulum membrane
P39008,YNR052C,POP2,433,Nucleus,Cytoplasm; Nucleus
P39009,YDL101C,DUN1,513,Nucleus,Nucleus
P39010,YDR264C,AKR1,764,Membrane_Secretory,Early endosome membrane; Golgi apparatus membrane
P39011,YPL161C,BEM4,633,Nucleus,Nucleus; Cytoplasm
P39012,YLR088W,GAA1,614,Membrane_Secretory,Endoplasmic reticulum membrane
P39013,YNL084C,END3,349,Membrane_Secretory,"Cell membrane; Endosome membrane; Cytoplasm, cytoskeleton, actin patch"
P39014,YIL046W,MET30,640,Nucleus,Cytoplasm; Nucleus
P39015,YLR150W,STM1,273,Nucleus,"Cytoplasm; Nucleus; Cytoplasm, perinuclear region"
P39016,YGL178W,MPT5,859,Cytoplasm,Cytoplasm
P39073,YPL042C,SSN3,555,Nucleus,Nucleus
P39078,YDL143W,CCT4,528,Cytoplasm,Cytoplasm
P39081,YDR228C,PCF11,626,Nucleus,Nucleus
P39104,YNL267W,PIK1,1066,Nucleus,"Nucleus; Golgi apparatus, trans-Golgi network"
P39105,YMR008C,PLB1,664,Membrane_Secretory,Cell membrane
P39107,YPL050C,MNN9,395,Membrane_Secretory,Endoplasmic reticulum membrane; Golgi apparatus membrane
P39108,YDR142C,PEX7,375,Cytoplasm,"Cytoplasm, cytosol; Peroxisome matrix"
P39109,YDR135C,YCF1,1515,Membrane_Secretory,Vacuole membrane
P39111,YGR020C,VMA7,118,Membrane_Secretory,Vacuole membrane
P39112,YMR287C,DSS1,969,Mitochondria,Mitochondrion matrix
P39113,YMR280C,CAT8,1433,Nucleus,Nucleus
P39515,YJL143W,TIM17,158,Mitochondria,Mitochondrion inner membrane
P39516,YJL191W,RPS14B,138,Nucleus,"Cytoplasm; Nucleus, nucleolus"
P39517,YDL160C,DHH1,506,Cytoplasm,"Cytoplasm, P-body"
P39518,YER015W,FAA2,744,Membrane_Secretory,Cytoplasm; Peroxisome membrane
P39520,YLR223C,IFH1,1085,Nucleus,Nucleus
P39521,YPR104C,FHL1,936,Nucleus,Nucleus
P39522,YJR016C,ILV3,585,Mitochondria,Mitochondrion
P39524,YAL026C,DRS2,1355,Membrane_Secretory,"Golgi apparatus, trans-Golgi network membrane; Endosome membrane"
P39526,YJL207C,LAA1,2014,Membrane_Secretory,"Golgi apparatus; Cytoplasmic vesicle, clathrin-coated vesicle"
P39531,YJL204C,RCY1,840,Cytoplasm,Cytoplasm; Bud neck; Cell tip
P39533,YJL200C,ACO2,789,Mitochondria,Mitochondrion
P39540,YJL196C,ELO1,310,Membrane_Secretory,Endoplasmic reticulum membrane
P39547,YAR027W,UIP3,235,Nucleus,Nucleus membrane; Cell membrane
P39552,YAR033W,MST28,234,Membrane_Secretory,"Endoplasmic reticulum; Golgi apparatus; Cytoplasmic vesicle, COPI-coated vesicle membrane; Cytoplasmic vesicle, COPII-coated vesicle membrane"
P39676,YGR234W,YHB1,399,Cytoplasm,Cytoplasm
P39678,YDL056W,MBP1,833,Nucleus,Nucleus
P39682,YML046W,PRP39,629,Nucleus,Nucleus
P39683,YOR209C,NPT1,429,Nucleus,Cytoplasm; Nucleus
P39685,YMR129W,POM152,1337,Nucleus,"Nucleus, nuclear pore complex; Nucleus membrane"
P39702,YAL002W,VPS8,1274,Other,"Golgi apparatus, Golgi stack"
P39704,YAL007C,ERP2,215,Membrane_Secretory,Endoplasmic reticulum membrane
