# Program:featureCounts v2.0.0; Command:"featureCounts" "-T" "8" "-p" "-a" "genes.gtf" "-o" "ns024.12.counts.txt" "./bam/A1.bam" "./bam/A2.bam" "./bam/B1.bam" "./bam/B2.bam" 
Geneid	Chr	Start	End	Strand	Length	./bam/A1.bam	./bam/A2.bam	./bam/B1.bam	./bam/B2.bam
YIR011C	IX	377287	378246	-	960	1701	1448	1782	2810
YIR012W	IX	378486	379781	+	1296	3658	2810	4684	5621
YIR013C	IX	380019	380384	-	366	19	15	26	24
YIR014W	IX	381086	381814	+	729	119	139	162	245
YIR015W	IX	381948	382382	+	435	295	268	362	500
YIR016W	IX	382628	383425	+	798	534	452	591	1029
YIR017C	IX	383556	384119	-	564	3	1	3	5
YIR017W-A	IX	383566	384165	+	600	0	1	2	9
YIR018W	IX	384609	385346	+	738	438	404	498	848
YIR018C-A	IX	385564	385701	-	138	161	182	188	272
YIR019C	IX	389572	393675	-	4104	298	339	341	581
ICR1	IX	393884	397082	-	3199	143	116	142	247
YIR020C	IX	394255	394557	-	303	0	0	0	0
YIR020W-A	IX	394917	395159	+	243	0	0	0	0
PWR1	IX	395999	396939	+	941	0	0	0	0
YIR020C-B	IX	397215	397949	-	735	0	0	0	0
YIR021W	IX	397294	398385	+	1092	277	237	306	462
YIR021W-A	IX	398514	398726	+	213	4	2	7	12
YIR022W	IX	398733	399236	+	504	915	870	1134	1801
YIR023W	IX	399777	402689	+	2913	1031	826	1358	1654
YIR023C-A	IX	402383	402706	-	324	1	0	1	6
YIR024C	IX	402841	403491	-	651	323	296	367	566
YIR025W	IX	403659	404765	+	1107	307	288	374	622
YIR026C	IX	404873	405967	-	1095	1786	1188	2360	2495
YIR027C	IX	406260	407642	-	1383	139	161	164	276
YIR028W	IX	408468	410375	+	1908	95	137	127	270
YIR029W	IX	410807	411838	+	1032	175	143	217	330
YIR030C	IX	412036	412770	-	735	179	168	232	341
YIR030W-A	IX	412899	413282	+	384	2	1	1	7
YIR031C	IX	413015	414679	-	1665	418	406	551	811
YIR032C	IX	415030	415617	-	588	46	50	73	141
YIR033W	IX	416124	419465	+	3342	2441	1799	3530	4006
YIR034C	IX	419615	420736	-	1122	4	4	5	5
YIR035C	IX	421026	421790	-	765	670	532	808	1305
YIR036C	IX	422074	422865	-	792	621	839	646	1602
YIR036W-A	IX	422635	423036	+	402	1	2	3	3
YIR037W	IX	423128	423619	+	492	1412	1864	1792	3883
YIR038C	IX	423809	424513	-	705	319	820	432	1595
YIR039C	IX	430498	432111	-	1614	120	330	137	579
YIR040C	IX	433389	433721	-	333	5	18	2	14
YIR041W	IX	433929	434303	+	375	1	7	5	21
YIR042C	IX	435273	435983	-	711	312	315	388	624
YIR043C	IX	437043	437735	-	693	108	113	89	186
YIR044C	IX	437994	438179	-	186	24	24	23	45
tP(UGG)Q	MT	731	802	+	72	0	0	0	0
Q0010	MT	3952	4338	+	387	0	0	0	0
Q0017	MT	4254	4415	+	162	0	0	0	0
15S_rRNA	MT	6546	8194	+	1649	0	0	0	0
tW(UCA)Q	MT	9374	9447	+	74	0	0	0	0
Q0032	MT	11667	11957	+	291	0	0	0	0
Q0070	MT;MT;MT;MT;MT	13818;16435;18954;20508;21995	13986;16470;18991;20984;23167	+;+;+;+;+	1893	0	0	0	0
Q0055	MT;MT	13818;16435	13986;18830	+;+	2565	0	0	0	0
Q0060	MT;MT;MT	13818;16435;18954	13986;16470;19996	+;+;+	1248	0	0	0	0
Q0065	MT;MT;MT;MT	13818;16435;18954;20508	13986;16470;18991;21935	+;+;+;+	1671	0	0	0	0
Q0045	MT;MT;MT;MT;MT;MT;MT;MT	13818;16435;18954;20508;21995;23612;25318;26229	13986;16470;18991;20984;22246;23746;25342;26701	+;+;+;+;+;+;+;+	1605	0	0	0	0
Q0050	MT	13818	16322	+	2505	0	0	0	0
Q0075	MT;MT	24156;24906	24870;25255	+;+	1065	0	0	0	0
Q0080	MT	27666	27812	+	147	0	0	0	0
Q0085	MT	28487	29266	+	780	0	0	0	0
Q0092	MT	30874	31014	+	141	0	0	0	0
tE(UUC)Q	MT	35373	35444	+	72	0	0	0	0
Q0115	MT;MT;MT	36540;37723;39141	36954;37736;40265	+;+;+	1554	0	0	0	0
Q0105	MT;MT;MT;MT;MT;MT	36540;37723;39141;40841;42508;43297	36954;37736;39217;41090;42558;43647	+;+;+;+;+;+	1158	0	0	0	0
Q0120	MT;MT;MT;MT	36540;37723;39141;40841	36954;37736;39217;42251	+;+;+;+	1917	0	0	0	0
Q0110	MT;MT	36540;37723	36954;38579	+;+	1272	0	0	0	0
Q0130	MT	46723	46953	+	231	0	0	0	0
tS(UGA)Q2	MT	48201	48290	+	90	0	0	0	0
Q0140	MT	48901	50097	+	1197	0	0	0	0
Q0142	MT	51052	51228	+	177	0	0	0	0
Q0143	MT	51277	51429	+	153	0	0	0	0
Q0144	MT	54109	54438	+	330	0	0	0	0
21S_rRNA	MT;MT	58009;61868	60724;62447	+;+	3296	0	0	0	0
Q0160	MT	61022	61729	+	708	0	0	0	0
tT(UGU)Q1	MT	63862	63937	+	76	0	0	0	0
tC(GCA)Q	MT	64415	64490	+	76	0	0	0	0
tH(GUG)Q	MT	64596	64670	+	75	0	0	0	0
Q0182	MT	65770	66174	+	405	0	0	0	0
tL(UAA)Q	MT	66095	66179	+	85	0	0	0	0
tQ(UUG)Q	MT	66210	66285	+	76	0	0	0	0
tK(UUU)Q	MT	67061	67134	+	74	0	0	0	0
tR(UCU)Q1	MT	67309	67381	+	73	0	0	0	0
tG(UCC)Q	MT	67468	67542	+	75	0	0	0	0
tD(GUC)Q	MT	68322	68396	+	75	0	0	0	0
tS(GCU)Q1	MT	69203	69288	+	86	0	0	0	0
tR(ACG)Q2	MT	69289	69362	+	74	0	0	0	0
tA(UGC)Q	MT	69846	69921	+	76	0	0	0	0
tI(GAU)Q	MT	70162	70237	+	76	0	0	0	0
tY(GUA)Q	MT	70824	70907	+	84	0	0	0	0
tN(GUU)Q	MT	71433	71503	+	71	0	0	0	0
tM(CAU)Q1	MT	72630	72705	+	76	0	0	0	0
Q0250	MT	73758	74513	+	756	0	0	0	0
Q0255	MT;MT;MT	74495;75663;75904	75622;75872;75984	+;+;+	1419	0	0	0	0
tF(GAA)Q	MT	77431	77505	+	75	0	0	0	0
tT(XXX)Q2	MT	78089	78162	-	74	0	0	0	0
tV(UAC)Q	MT	78533	78608	+	76	0	0	0	0
Q0275	MT	79213	80022	+	810	0	0	0	0
tM(CAU)Q2	MT	85035	85112	+	78	0	0	0	0
RPM1	MT	85295	85777	+	483	0	0	0	0
Q0297	MT	85554	85709	+	156	0	0	0	0
YEL077C	V	264	4097	-	3834	754	577	847	1079
YEL077W-A	V	630	1112	+	483	0	0	0	0
YEL076C-A	V;V	4185;4602	4322;5114	-;-	651	7	13	6	14
YEL076C	V	4464	5114	-	651	10	6	12	15
YEL075W-A	V	4870	5481	+	612	2	7	2	10
YEL075C	V	5345	5713	-	369	6	7	1	5
YEL074W	V	6126	6464	+	339	28	34	29	43
YEL073C	V	7230	7553	-	324	63	56	60	163
YEL072W	V	13720	14415	+	696	242	224	307	408
YEL071W	V	16355	17845	+	1491	4217	4372	4987	8523
YEL070W	V	19589	21097	+	1509	34	75	40	143
YEL069C	V	21537	23231	-	1695	40	31	29	78
YEL068C	V	25646	25978	-	333	302	269	419	594
YEL067C	V	26189	26776	-	588	69	70	103	141
YEL066W	V	26667	27206	+	540	533	594	685	1291
YEL065W	V	27657	29543	+	1887	787	1182	1288	2630
YEL064C	V	29797	31239	-	1443	307	327	389	583
YEL063C	V	31694	33466	-	1773	3077	2568	3773	4756
YEL062W	V	34407	36254	+	1848	542	573	552	1008
YEL061C	V	36535	39537	-	3003	1093	797	1340	1644
YEL060C	V	40046	41953	-	1908	1879	2939	2215	6003
YEL059C-A	V	42400	42624	-	225	95	142	112	301
YEL059W	V	42652	42960	+	309	18	26	15	48
YEL058W	V	43252	44925	+	1674	2810	3384	3646	7033
YEL057C	V	45020	45721	-	702	78	65	94	156
YEL056W	V	47168	48373	+	1206	1120	931	1460	2010
YEL055C	V	48471	51539	-	3069	4267	2837	5384	5366
snR80	V	52150	52320	-	171	26	44	56	70
YEL054C	V	52721	53218	-	498	7401	4702	9251	9193
YEL053W-A	V	52908	53255	+	348	10	5	2	6
YEL053C	V	53901	56102	-	2202	1475	979	1731	2014
YEL052W	V	56571	58100	+	1530	1489	1499	1605	2936
YEL051W	V	58378	59148	+	771	4076	3379	4947	6692
YEL050W-A	V	59549	59740	+	192	27	33	31	56
YEL050C	V	59670	60851	-	1182	1897	1832	2220	3428
snR67	V	61352	61433	+	82	45	40	63	83
snR53	V	61699	61789	+	91	5	3	3	34
tG(GCC)E	V	61890	61960	-	71	9	3	2	8
YEL049W	V	63728	64090	+	363	94	83	92	138
YEL048C	V	64709	65167	-	459	351	258	492	541
YEL047C	V	65385	66797	-	1413	3051	1950	3462	4199
YEL046C	V	67629	68792	-	1164	11012	8661	13337	15747
YEL045C	V	68840	69265	-	426	11	16	24	31
YEL044W	V	69757	70257	+	501	1215	793	1460	2038
YEL043W	V	70478	73348	+	2871	1680	1622	2194	3408
YEL042W	V	73771	75327	+	1557	4605	3495	5862	7251
YEL041W	V	75944	77431	+	1488	201	277	232	525
YEL040W	V	78053	79456	+	1404	5575	2784	7009	6195
YEL039C	V	79636	79977	-	342	184	682	181	1335
YEL038W	V	80462	81145	+	684	943	978	1198	2069
YEL037C	V	81407	82603	-	1197	4604	3916	5456	7659
YEL036C	V	83050	84552	-	1503	3377	2812	3849	5442
YEL035C	V	85045	85545	-	501	15	17	38	26
YEL034C-A	V	85613	86215	-	603	445	392	458	534
YEL034W	V	85676	86149	+	474	0	0	0	0
YEL033W	V	86179	86598	+	420	1455	1051	1761	1998
tS(AGA)E	V	86604	86685	+	82	0	0	1	0
YEL032W	V	86937	89852	+	2916	2367	1743	2885	3529
YEL032C-A	V	87040	87201	-	162	0	0	0	0
YEL031W	V	90258	93905	+	3648	6423	5594	8712	11317
YEL030C-A	V	94583	94897	-	315	5	3	8	13
YEL030W	V	94644	96578	+	1935	411	261	440	468
YEL029C	V	96858	97796	-	939	702	657	846	1116
YEL028W	V	98668	99129	+	462	131	90	110	179
tM(CAU)E	V	100133	100204	+	72	3	1	4	4
YEL027W	V	100769	101251	+	483	12079	9523	14615	17782
YEL026W	V	101943	102323	+	381	5121	3015	7117	7343
YEL025C	V	102581	106147	-	3567	1371	1391	1668	2476
YEL024W	V	107260	107907	+	648	2322	2753	2730	5680
YEL023C	V	108504	110552	-	2049	410	450	461	819
YEL022W	V	111421	115800	+	4380	2378	2093	3157	4162
YEL021W	V	116167	116970	+	804	1701	1201	2264	2628
YEL020C-B	V	117183	117380	-	198	0	1	1	1
YEL020W-A	V	117211	117474	+	264	287	219	282	354
RPR1	V	117667	118035	-	369	92	120	67	277
YEL020C	V	118617	120299	-	1683	511	485	670	1046
YEL019C	V	120498	121301	-	804	103	62	111	110
YEL018C-A	V	121455	121988	-	534	0	0	0	0
YEL018W	V	121471	122310	+	840	198	137	273	303
YEL017C-A	V	122798	122929	-	132	6414	5217	7159	7443
YEL017W	V	123657	124670	+	1014	904	737	977	1543
YEL016C	V	124737	126218	-	1482	600	607	724	1105
YEL015W	V	126629	128284	+	1656	2359	2174	2988	4271
YEL014C	V	128303	128608	-	306	55	46	40	116
YEL013W	V	128825	130561	+	1737	2082	2063	2412	3672
tQ(UUG)E2	V	131082	131153	-	72	5	1	0	0
YEL012W	V;V	131772;131900	131776;132551	+;+	657	298	498	330	1042
YEL011W	V	133120	135234	+	2115	346	550	445	1105
tK(CUU)E1	V	135425	135497	-	73	0	0	0	3
YEL010W	V	136279	136629	+	351	5	17	10	31
YEL009C-A	V	136371	136778	-	408	3	5	2	5
tR(UCU)E	V	138666	138737	+	72	2	0	1	1
YEL009C	V	138918	139763	-	846	20465	16709	24628	33748
YEL008W	V	140512	140892	+	381	33	18	52	54
YEL008C-A	V	140726	140818	-	93	0	0	0	0
YEL007W	V	141892	143892	+	2001	2070	1809	2763	3937
YEL006W	V	144327	145334	+	1008	885	768	1097	1518
YEL005C	V	145907	146755	-	849	220	285	297	528
YEL004W	V	146951	147979	+	1029	255	310	317	574
YEL003W	V;V	148176;148283	148194;148599	+;+	336	874	694	1026	1570
YEL002C	V	148722	150014	-	1293	3386	3243	4292	6310
YEL001C	V	150301	150978	-	678	2359	1998	3006	4568
YER001W	V	153520	155808	+	2289	5037	4103	6746	7852
YER002W	V	156803	157498	+	696	3636	2213	3946	4056
YER003C	V;V	157736;159088	158994;159118	-;-	1290	4290	3986	5472	7933
YER004W	V	159580	160275	+	696	1868	2515	2156	5397
YER005W	V	160550	162442	+	1893	1374	963	1671	2006
YER006W	V	162723	164285	+	1563	4740	2851	6278	5866
YER006C-A	V	164344	164661	-	318	2	3	3	4
YER007W	V	164527	166083	+	1557	300	217	379	444
YER007C-A	V;V	166237;166875	166771;166885	-;-	546	2053	1470	2674	3229
snR14	V	167427	167586	-	160	33	11	20	34
YER008C	V	167808	171818	-	4011	1935	1916	2421	3347
YER009W	V	172115	172492	+	378	4365	3431	5468	7552
YER010C	V	172634	173338	-	705	491	656	697	1273
YER011W	V	175248	176012	+	765	723	426	1258	1189
tE(UUC)E1	V	177099	177170	+	72	7	4	3	8
YER012W	V	177835	178431	+	597	2927	3038	3477	6162
YER013W	V	178841	182278	+	3438	935	813	1195	1629
YER014W	V	182600	184219	+	1620	549	613	572	1140
YER014C-A	V;V	183731;184678	184169;184700	-;-	462	0	0	0	0
YER015W	V	184541	186775	+	2235	268	295	348	529
YER016W	V	188277	189311	+	1035	1602	1315	1875	2619
YER017C	V	189503	191788	-	2286	2259	2261	2769	4372
YER018C	V	191959	192624	-	666	407	287	427	649
YER019W	V	192797	194230	+	1434	1246	1053	1455	2214
YER019C-A	V	194273	194539	-	267	1805	1214	2126	2938
YER020W	V	195168	196517	+	1350	1415	1209	1501	2534
YER021W	V	196948	198519	+	1572	3973	4868	4598	8675
YER022W	V	198812	200875	+	2064	1070	1087	1247	1863
YER023W	V	201076	201936	+	861	2590	2170	3181	4568
YER023C-A	V	201522	201734	-	213	0	0	0	0
YER024W	V	202192	204963	+	2772	427	511	589	1083
YER025W	V	205251	206834	+	1584	9807	7413	13078	14019
tH(GUG)E1	V	207357	207428	+	72	5	4	7	3
YER026C	V	207644	208474	-	831	1561	1651	1937	3042
YER027C	V	208979	210232	-	1254	1408	1430	1502	2774
YER028C	V	210692	211876	-	1185	300	197	282	502
YER029C	V	212587	213177	-	591	1014	700	976	1242
YER030W	V	213437	213898	+	462	2412	2000	2606	3539
YER031C	V	214076	214747	-	672	2141	1940	2921	4889
YER032W	V	215063	217693	+	2631	1051	1033	1388	2034
YER033C	V	218057	221287	-	3231	308	513	390	1027
YER034W	V	221846	222403	+	558	273	317	371	647
YER035W	V	222639	223076	+	438	424	585	491	1192
YER036C	V	223367	225199	-	1833	11800	7303	16064	15299
YER037W	V	225889	226854	+	966	203	363	288	689
YER038C	V	226858	228252	-	1395	255	178	293	429
YER038W-A	V	228451	228831	+	381	1	0	0	5
YER039C	V	228456	229205	-	750	42	51	37	120
YER039C-A	V	229263	229481	-	219	23	16	27	85
YER040W	V	229795	231987	+	2193	814	792	1055	1434
YER041W	V	232461	234740	+	2280	582	636	756	1052
YER042W	V	234937	235491	+	555	1411	875	1913	1721
YER043C	V	235770	237119	-	1350	23521	14535	31789	31109
YER044C	V	237570	238016	-	447	2646	1667	3053	3821
YER044C-A	V;V	238460;239712	239623;239774	-;-	1227	69	99	89	175
YER045C	V	240032	241501	-	1470	662	632	605	1267
YER046W	V	243180	243611	+	432	169	154	175	376
YER046W-A	V	243700	244029	+	330	6	4	6	12
YER047C	V	243810	246503	-	2694	734	560	795	1161
YER048C	V	246982	248157	-	1176	3451	2992	3792	5774
tQ(UUG)E1	V	250286	250357	+	72	0	0	1	1
YER048W-A	V	250718	251002	+	285	1098	1173	1328	2197
YER049W	V	251728	253662	+	1935	5371	3868	7148	7409
YER050C	V	253971	254387	-	417	832	737	954	1525
YER051W	V	254656	256134	+	1479	370	458	437	814
YER052C	V	256375	257958	-	1584	6571	5786	7794	11376
YER053C	V	258737	259639	-	903	505	1325	542	2463
YER053C-A	V	260933	261046	-	114	554	1486	586	2744
YER054C	V	262052	263698	-	1647	164	295	134	568
YER055C	V	264892	265785	-	894	12496	7162	15816	15724
YER056C	V	266512	268113	-	1602	11290	4593	13083	9927
YER056C-A	V;V	269423;270149	269751;270185	-;-	366	11101	7076	14348	16105
YER057C	V	270737	271126	-	390	1414	1258	1905	3051
YER058W	V	271768	272091	+	324	264	273	325	547
YER059W	V	272624	273886	+	1263	736	612	814	1110
YER060W	V	274567	276153	+	1587	805	597	1010	1181
YER060W-A	V	276572	278164	+	1593	271	208	372	420
YER061C	V	278298	279626	-	1329	845	462	847	1057
YER062C	V	279930	280682	-	753	952	2847	1071	5704
YER063W	V	281710	282366	+	657	1740	1303	2049	2414
YER064C	V	282705	284222	-	1518	2116	1985	2595	3933
YER065C	V	285241	286914	-	1674	752	671	972	1371
tS(UGA)E	V	288443	288524	-	82	1	0	1	1
YER066W	V	290242	290799	+	558	107	111	116	252
YER066C-A	V	291703	292203	-	501	38	66	22	100
YER067W	V	292066	292551	+	486	13	26	6	36
YER067C-A	V	292240	292563	-	324	0	0	0	0
YER068W	V	293050	294813	+	1764	1609	1298	1900	2533
YER068C-A	V	295301	295732	-	432	3	0	1	6
YER069W	V	295410	298001	+	2592	2072	2118	2353	4161
YER070W	V	298950	301616	+	2667	9660	6744	12165	13779
YER071C	V	301947	302327	-	381	382	373	431	720
YER072W	V	302806	303195	+	390	2344	1248	3385	2911
YER073W	V	304030	305592	+	1563	10789	9634	12286	19019
YER074W	V;V	306323;306792	306325;307196	+;+	408	22296	14361	29553	33236
YER074W-A	V;V;V	307653;307849;308068	307746;307956;308123	+;+;+	258	617	575	780	1345
YER075C	V	308413	311199	-	2787	1089	924	1440	1788
tA(UGC)E	V	312023	312095	-	73	1	2	7	3
YER076C	V	312590	313498	-	909	257	214	322	430
YER076W-A	V	313390	313737	+	348	28	54	31	49
YER077C	V	314534	316600	-	2067	1083	833	1180	1734
YER078C	V	316807	318342	-	1536	979	855	1092	1614
YER078W-A	V	318646	318810	+	165	3	11	6	10
YER079W	V	318920	319552	+	633	245	325	239	581
YER079C-A	V	319902	320240	-	339	0	0	0	0
YER080W	V	319963	321846	+	1884	2205	2126	2459	3814
SRG1	V	322212	322762	+	551	251	253	309	556
YER081W	V	322686	324095	+	1410	1747	1672	2272	3429
YER082C	V	324272	325936	-	1665	3183	2038	3811	4127
YER083C	V	326174	327031	-	858	1629	1208	1870	2812
YER084W	V	327065	327451	+	387	11	20	5	38
YER084W-A	V	327598	328110	+	513	0	0	2	0
YER085C	V	327619	328140	-	522	0	0	0	0
YER086W	V	328477	330207	+	1731	8361	6508	10109	12642
YER087W	V	330576	332306	+	1731	324	452	454	870
YER087C-A	V	331817	332368	-	552	12	15	25	41
YER087C-B	V	332582	332830	-	249	1677	1430	2056	3071
YER088C	V	333176	335188	-	2013	3163	2642	3110	5257
YER088C-A	V	335696	336019	-	324	211	122	229	225
YER088W-B	V	335927	336073	+	147	1	0	3	0
YER089C	V	335946	337340	-	1395	3316	2352	3832	4422
YER090W	V	337949	339472	+	1524	5862	5273	7068	9930
YER090C-A	V	338322	338411	-	90	0	0	0	0
YER091C	V	339864	342167	-	2304	22553	10818	27354	19885
YER091C-A	V	342390	342611	-	222	1	5	4	2
YER092W	V	342855	343232	+	378	358	373	461	987
YER093C	V	343320	347612	-	4293	911	889	1166	1607
YER093C-A	V;V	347912;348277	348201;348400	-;-	414	155	164	182	382
YER094C	V	348729	349346	-	618	4381	4411	5139	9049
YER095W	V	349980	351182	+	1203	1467	2343	1941	4748
YER096W	V	351698	353236	+	1539	93	223	139	358
tE(UUC)E2	V	354934	355005	+	72	7	2	0	2
YER097W	V	355140	355469	+	330	5	8	15	20
YER098W	V	355466	357730	+	2265	336	336	327	667
YER099C	V	358105	359061	-	957	1445	1127	1801	2384
YER100W	V	359562	360314	+	753	1572	1417	1701	2711
YER101C	V	360502	361794	-	1293	309	403	428	808
YER102W	V	363100	363702	+	603	22230	14376	27567	29205
YER103W	V	364589	366517	+	1929	531	1329	599	2524
YER104W	V	366802	367428	+	627	244	249	262	475
YER105C	V	367838	372013	-	4176	2256	1986	3167	4081
YER106W	V	372326	373234	+	909	11	19	14	40
YER107C	V	373448	374545	-	1098	1331	1148	1699	2325
YER107W-A	V	374394	374714	+	321	113	111	149	210
YER109C	V	375215	377614	-	2400	1110	843	1340	1696
YER110C	V	378762	382103	-	3342	7332	5495	10209	11125
YER111C	V	382595	385876	-	3282	1536	1513	1685	2791
YER112W	V	387232	387795	+	564	1290	977	1457	1832
YER113C	V	387932	390052	-	2121	1421	1176	1821	2198
YER114C	V	390590	393712	-	3123	1991	1591	2453	3112
YER115C	V	394292	394867	-	576	397	201	433	469
YER116C	V	395348	396172	-	825	361	350	432	648
YER117W	V;V	396769;397282	396810;397653	+;+	414	18734	13646	27190	30189
YER118C	V	397952	399055	-	1104	1330	1183	1829	2557
YER119C	V	399496	400842	-	1347	431	464	496	882
YER119C-A	V	400867	401238	-	372	10	19	20	34
YER120W	V	401135	401869	+	735	4731	3583	5745	7420
YER121W	V	402375	402719	+	345	37	75	47	101
YER122C	V	402871	404352	-	1482	4245	3790	4781	7274
YER123W	V	404813	406387	+	1575	1593	1418	1830	2542
YER124C	V	407342	409063	-	1722	4008	2359	4878	4477
YER125W	V	410189	412618	+	2430	2716	2538	3282	4825
YER126C	V	413394	414179	-	786	3188	1907	3920	3912
YER127W	V	414481	415554	+	1074	2478	1366	2598	2814
YER128W	V	415859	416470	+	612	228	262	243	525
YER129W	V	417281	420709	+	3429	1755	1577	2550	3247
YER130C	V	421115	422446	-	1332	768	971	996	1941
YER131W	V	423952	424311	+	360	22495	12408	27656	27053
snR4	V	424698	424883	+	186	200	166	212	388
YER132C	V	425188	430449	-	5262	1168	903	1340	1917
snR52	V	431129	431220	-	92	16	9	3	27
YER133W	V;V	432495;433197	432671;433958	+;+	939	5609	4991	6720	8914
tH(GUG)E2	V	434541	434612	-	72	18	17	21	41
tK(CUU)E2	V	435752	435824	-	73	0	0	0	0
YER133W-A	V	437191	437532	+	342	75	106	127	128
YER134C	V	437267	437803	-	537	243	285	276	538
YER135C	V	437952	438344	-	393	6	4	7	13
tV(AAC)E1	V	438700	438773	+	74	0	0	1	1
YER136W	V	439616	440971	+	1356	3877	4213	4864	8067
YER137C	V	441373	441819	-	447	91	91	87	133
YER137W-A	V	441575	441880	+	306	0	0	2	0
SCR1	V	441987	442508	+	522	177	311	141	398
tI(AAU)E1	V	443202	443275	-	74	2	2	0	7
YER138C	V;V	443756;447723	447721;449024	-;-	5268	435	515	451	1050
YER137C-A	V	447702	449024	-	1323	0	0	0	0
YER138W-A	V	449474	449578	+	105	302	88	346	186
YER139C	V	450563	451243	-	681	271	292	320	648
YER140W	V	451565	453235	+	1671	785	567	956	1072
YER141W	V	453459	454919	+	1461	3672	3454	4188	6789
YER142C	V	455146	456036	-	891	319	631	332	1222
YER143W	V	456319	457605	+	1287	971	1577	1148	2833
YER144C	V	457806	460223	-	2418	746	789	984	1822
YER145C	V	460526	461740	-	1215	5442	4334	7645	8523
YER145C-A	V	462386	462823	-	438	40	47	71	138
YER146W	V	462585	462866	+	282	3	3	3	5
YER147C	V	462968	464842	-	1875	713	641	956	1321
YER147C-A	V	465203	465613	-	411	336	310	451	500
YER148W	V	465303	466025	+	723	1588	1105	2030	2073
YER148W-A	V	466185	466763	+	579	15	19	14	9
YER149C	V	466208	467470	-	1263	477	542	597	963
YER150W	V	468370	468816	+	447	128	413	131	851
tV(AAC)E2	V	469457	469530	+	74	2	0	3	3
YER151C	V	469686	472424	-	2739	2827	2459	3211	4474
YER152C	V	472657	473988	-	1332	742	521	825	976
YER152W-A	V	473485	474051	+	567	8	2	9	5
YER153C	V	474041	474805	-	765	150	82	153	248
YER154W	V	475020	476228	+	1209	1712	1171	2133	2469
YER155C	V	476345	482848	-	6504	4784	4209	5689	7973
YER156C	V	483325	484341	-	1017	3779	2227	4768	4524
YER157W	V	484788	487193	+	2406	945	784	1287	1677
tE(UUC)E3	V	487331	487402	-	72	0	0	1	0
YER158C	V	488857	490578	-	1722	333	418	399	793
YER158W-A	V	491487	491702	+	216	7	4	4	14
YER159C	V	491530	491958	-	429	1175	1305	1066	2138
tR(ACG)E	V	492352	492424	-	73	0	3	2	8
YER160C	V;V	492856;496823	496821;498124	-;-	5268	893	1735	1001	2972
YER159C-A	V	496802	498124	-	1323	0	0	0	0
YER161C	V	499347	500348	-	1002	1755	1348	1914	2618
YER162C	V	500630	502894	-	2265	515	439	699	967
YER163C	V	503084	503782	-	699	729	820	800	1752
YER164W	V	505392	509798	+	4407	2873	1928	3416	3712
YER165W	V	510373	512106	+	1734	18156	12645	23445	25240
YER165C-A	V	512627	512983	-	357	19	13	31	38
YER166W	V	512744	517459	+	4716	2505	2375	3364	4717
YER167W	V	518216	520771	+	2556	1596	1288	1923	2687
YER168C	V	521029	522669	-	1641	1089	1081	1405	2117
YER169W	V	523369	525759	+	2391	1080	884	1241	1746
YER170W	V	525974	526651	+	678	452	421	459	794
YER171W	V	527082	529418	+	2337	1404	1164	1895	2234
YER172C	V	529530	536021	-	6492	1844	1535	2415	3095
YER172C-A	V	536275	536655	-	381	0	0	0	0
YER173W	V	536300	538279	+	1980	583	465	615	995
YER174C	V	538434	539168	-	735	857	577	1120	1084
YER175C	V	539464	540363	-	900	521	938	585	1729
YER175W-A	V	540650	540814	+	165	76	62	107	105
YER176W	V	541690	545055	+	3366	2225	1831	2590	3609
YER177W	V	545611	546414	+	804	16946	18957	20243	36997
YER178W	V	546817	548079	+	1263	8084	8872	10821	18737
YER179W	V;V	548421;548645	548552;549517	+;+	1005	36	120	83	210
YER180C	V	549724	550527	-	804	370	305	470	630
YER180C-A	V	550865	551122	-	258	177	149	187	297
tI(AAU)E2	V	551285	551358	-	74	0	0	0	0
YER181C	V	551473	551796	-	324	0	0	0	6
YER182W	V	552525	553259	+	735	529	597	619	1274
YER183C	V	553334	553969	-	636	563	535	776	1024
YER184C	V	556296	558680	-	2385	256	305	357	569
YER185W	V	559454	560365	+	912	58	100	73	196
YER186C	V	561705	562625	-	921	1188	908	1248	1655
YER187W	V	566230	566655	+	426	91	65	62	107
YER188W	V	568040	568759	+	720	170	178	211	340
YER188C-A	V	569608	569907	-	300	66	49	59	85
YER189W	V	571155	571523	+	369	18	5	31	14
YER190W	V	571480	576525	+	5046	16	21	25	34
YER190C-A	V	574804	575379	-	576	0	0	0	0
YER190C-B	V	575680	576162	-	483	0	0	0	0
YFL068W	VI	53	535	+	483	0	0	0	0
YFL067W	VI	836	1363	+	528	179	147	266	312
YFL066C	VI	1437	2615	-	1179	139	117	216	229
YFL065C	VI	3030	3338	-	309	18	16	29	31
YFL064C	VI	3322	3846	-	525	13	11	21	26
YFL063W	VI	5066	5521	+	456	0	8	3	0
YFL062W	VI	6426	7565	+	1140	149	246	143	470
YFL061W	VI	9545	10222	+	678	87	89	130	186
YFL060C	VI	10301	10969	-	669	67	80	82	120
YFL059W	VI	11363	12259	+	897	204	400	310	893
YFL058W	VI	12929	13951	+	1023	19	53	18	130
YFL057C	VI	14305	14763	-	459	248	259	336	439
YFL056C	VI	14793	15431	-	639	298	246	373	513
YFL055W	VI	17004	18680	+	1677	116	127	180	284
YFL054C	VI	20847	22787	-	1941	376	491	406	981
YFL053W	VI	23423	25198	+	1776	112	96	124	173
YFL052W	VI	28232	29629	+	1398	32	32	44	80
