gene_id,length,log_length,n_term_hydrophobic,n_term_positive,n_term_aliphatic
YBR183W,316,2.499687082618404,0.42,0.02,0.22
YBR185C,278,2.444044795918076,0.34,0.24,0.2
YBR187W,280,2.4471580313422194,0.54,0.08,0.38
YBR188C,140,2.146128035678238,0.36,0.12,0.28
YBR193C,223,2.3483048630481607,0.42,0.1,0.3
YBR201W,211,2.3242824552976926,0.54,0.1,0.44
YBR207W,465,2.667452952889954,0.52,0.04,0.34
YBR211C,324,2.510545010206612,0.38,0.18,0.24
YBR217W,186,2.2695129442179165,0.26,0.12,0.18
YBR223C,544,2.73559889969818,0.3,0.18,0.18
YBR227C,520,2.716003343634799,0.42,0.18,0.3
YBR228W,304,2.482873583608754,0.34,0.18,0.2
YBR231C,303,2.4814426285023052,0.22,0.08,0.12
YBR234C,384,2.584331224367531,0.38,0.14,0.3
YBR235W,1120,3.0492180226701815,0.32,0.12,0.2
YBR246W,387,2.5877109650189114,0.38,0.14,0.3
YBR247C,483,2.683947130751512,0.36,0.26,0.32
YBR254C,175,2.2430380486862944,0.48,0.08,0.28
YBR257W,279,2.4456042032735974,0.34,0.14,0.18
YBR260C,666,2.823474229170301,0.42,0.14,0.34
YBR261C,232,2.3654879848909,0.42,0.04,0.3
YBR262C,106,2.0253058652647704,0.38,0.14,0.26
YBR265W,320,2.505149978319906,0.36,0.14,0.3
YBR267W,393,2.5943925503754266,0.34,0.16,0.18
YBR269C,138,2.1398790864012365,0.4,0.2,0.22
YBR272C,480,2.681241237375587,0.38,0.06,0.3
YBR279W,445,2.6483600109809315,0.44,0.1,0.28
YBR283C,490,2.690196080028514,0.66,0.08,0.4
YBR290W,321,2.5065050324048723,0.26,0.06,0.2
YBR295W,1216,3.0849335749367164,0.3,0.14,0.2
YBR296C,574,2.7589118923979736,0.6,0.06,0.4
YMR261C,1054,3.022840610876528,0.4,0.08,0.28
YML100W,1098,3.040602340114073,0.48,0.02,0.34
YMR264W,203,2.307496037913213,0.44,0.14,0.3
YMR263W,201,2.303196057420489,0.14,0.06,0.08
YOR123C,464,2.666517980554881,0.16,0.08,0.1
YOR232W,228,2.357934847000454,0.46,0.2,0.2
YER031C,223,2.3483048630481607,0.34,0.1,0.22
YHR072W,731,2.8639173769578603,0.38,0.1,0.16
YLR248W,610,2.785329835010767,0.28,0.26,0.16
YJL001W,215,2.3324384599156054,0.4,0.12,0.34
YIL043C,284,2.4533183400470375,0.64,0.14,0.44
YJR103W,578,2.761927838420529,0.46,0.1,0.36
YEL058W,557,2.745855195173729,0.38,0.12,0.28
YNL290W,340,2.5314789170422554,0.34,0.18,0.22
YOR217W,861,2.935003151453655,0.26,0.18,0.14
YLR342W,1876,3.273232834043046,0.22,0.0,0.1
YEL019C,267,2.4265112613645754,0.38,0.16,0.26
YGL127C,127,2.103803720955957,0.42,0.04,0.26
YLR079W,284,2.4533183400470375,0.34,0.12,0.14
YNL259C,73,1.863322860120456,0.4,0.12,0.32
YIR011C,319,2.503790683057181,0.32,0.12,0.16
YER122C,493,2.69284691927723,0.34,0.06,0.14
YPL243W,599,2.7774268223893115,0.36,0.22,0.28
YPL210C,640,2.806179973983887,0.38,0.1,0.32
YHL011C,320,2.505149978319906,0.44,0.16,0.34
YHR082C,1029,3.012415374762433,0.34,0.16,0.3
YHR096C,592,2.77232170672292,0.3,0.06,0.22
YHR129C,384,2.584331224367531,0.36,0.1,0.28
YHR216W,523,2.718501688867274,0.46,0.12,0.32
YHL019C,605,2.781755374652469,0.44,0.08,0.28
YHL015W,121,2.0827853703164503,0.3,0.16,0.26
YHL003C,411,2.6138418218760693,0.4,0.16,0.3
YHR006W,541,2.7331972651065692,0.44,0.12,0.32
YHR046C,295,2.469822015978163,0.38,0.14,0.32
YHR021C,82,1.9138138523837167,0.46,0.18,0.34
YHR065C,501,2.699837725867246,0.28,0.24,0.26
YHR073W,996,2.998259338423699,0.36,0.22,0.28
YHR104W,327,2.514547752660286,0.42,0.12,0.32
YNL257C,1229,3.0895518828864543,0.44,0.2,0.28
YHR169W,431,2.6344772701607315,0.42,0.16,0.3
YHR183W,489,2.6893088591236203,0.44,0.12,0.34
YHL040C,627,2.7972675408307164,0.3,0.18,0.16
YHL031C,223,2.3483048630481607,0.28,0.12,0.2
YHL030W,1868,3.271376871894075,0.5,0.14,0.36
YHL023C,1146,3.059184617631371,0.38,0.12,0.24
YHL002W,452,2.655138434811382,0.42,0.12,0.32
YHL001W,138,2.1398790864012365,0.48,0.18,0.42
YHR001W,437,2.640481436970422,0.32,0.08,0.26
YHR004C,446,2.649334858712142,0.28,0.2,0.22
YHR009C,523,2.718501688867274,0.36,0.12,0.16
YHR031C,723,2.859138297294531,0.28,0.2,0.14
YHR034C,344,2.53655844257153,0.46,0.18,0.34
YHR036W,471,2.673020907128896,0.38,0.1,0.2
YHR050W,549,2.739572344450092,0.22,0.08,0.12
YHR052W,376,2.575187844927661,0.34,0.3,0.24
YHR056C,883,2.9459607035775686,0.34,0.24,0.14
YHR058C,295,2.469822015978163,0.44,0.1,0.22
YHR061C,314,2.496929648073215,0.34,0.12,0.14
YHR062C,293,2.4668676203541096,0.46,0.1,0.34
YHR064C,538,2.7307822756663893,0.42,0.04,0.3
YHR066W,453,2.656098202012832,0.36,0.24,0.26
YHR069C,359,2.5550944485783194,0.24,0.08,0.18
YHR070W,499,2.6981005456233897,0.52,0.16,0.24
YHR076W,343,2.5352941200427703,0.3,0.14,0.18
YHR080C,1345,3.128722284338427,0.26,0.32,0.16
YHR081W,184,2.2648178230095364,0.42,0.18,0.34
YHR085W,334,2.5237464668115646,0.26,0.34,0.18
YHR088W,295,2.469822015978163,0.28,0.32,0.2
YHR090C,282,2.450249108319361,0.34,0.14,0.26
YHR098C,929,2.968015713993642,0.34,0.16,0.26
YHR099W,3744,3.5733358400660675,0.38,0.08,0.24
YHR105W,214,2.330413773349191,0.32,0.04,0.18
YHR108W,585,2.7671558660821804,0.5,0.18,0.36
YHR111W,440,2.6434526764861874,0.26,0.16,0.22
YHR113W,490,2.690196080028514,0.32,0.24,0.16
YHR114W,633,2.801403710017355,0.32,0.22,0.22
YHR115C,416,2.6190933306267428,0.42,0.08,0.22
YHR117W,639,2.8055008581584002,0.4,0.12,0.36
YHR118C,435,2.6384892569546374,0.4,0.14,0.28
YHR119W,1080,3.03342375548695,0.1,0.22,0.04
YHR121W,187,2.271841606536499,0.32,0.1,0.24
YHR124W,627,2.7972675408307164,0.28,0.06,0.18
YHR132C,430,2.6334684555795866,0.46,0.06,0.34
YHR134W,269,2.429752280002408,0.38,0.24,0.26
YHR137W,513,2.7101173651118162,0.42,0.12,0.26
YHR142W,316,2.499687082618404,0.52,0.12,0.36
YHR143W,325,2.5118833609788744,0.5,0.06,0.34
YHR154W,1070,3.0293837776852097,0.46,0.06,0.36
YHR155W,1228,3.089198366805149,0.4,0.16,0.26
YHR160C,283,2.45178643552429,0.3,0.16,0.16
YHR161C,637,2.8041394323353503,0.38,0.16,0.26
YHR162W,129,2.110589710299249,0.48,0.18,0.2
YHR164C,1522,3.182414652434554,0.34,0.26,0.22
YHR170W,518,2.714329759745233,0.4,0.06,0.26
YHR171W,630,2.7993405494535817,0.44,0.12,0.3
YHR172W,823,2.91539983521227,0.44,0.16,0.3
YHR181W,228,2.357934847000454,0.46,0.08,0.36
YHR182W,785,2.8948696567452528,0.3,0.14,0.24
YHR186C,1557,3.1922886125681202,0.38,0.14,0.18
YHR187W,309,2.4899584794248346,0.42,0.14,0.32
YHR188C,610,2.785329835010767,0.56,0.02,0.4
YHR192W,278,2.444044795918076,0.38,0.16,0.28
YHR193C,174,2.2405492482826,0.44,0.2,0.36
YHR195W,321,2.5065050324048723,0.48,0.18,0.34
YHR196W,575,2.7596678446896306,0.4,0.1,0.3
YHR197W,763,2.8825245379548807,0.48,0.1,0.38
YHR202W,602,2.7795964912578244,0.54,0.12,0.42
YHR204W,796,2.900913067737669,0.46,0.12,0.34
YHR206W,622,2.7937903846908188,0.3,0.04,0.16
YHR207C,526,2.7209857441537393,0.34,0.1,0.24
YHR208W,393,2.5943925503754266,0.42,0.2,0.26
YHR211W,1075,3.031408464251624,0.52,0.1,0.4
YOL005C,120,2.0791812460476247,0.46,0.14,0.32
YOR014W,757,2.8790958795000727,0.16,0.28,0.08
YDR254W,458,2.660865478003869,0.46,0.08,0.28
YOR020C,106,2.0253058652647704,0.5,0.16,0.42
YML074C,411,2.6138418218760693,0.56,0.04,0.36
YLR055C,602,2.7795964912578244,0.22,0.02,0.18
YMR167W,769,2.885926339801431,0.56,0.1,0.46
YNL004W,454,2.6570558528571038,0.1,0.32,0.04
YOL122C,575,2.7596678446896306,0.44,0.16,0.34
YIL139C,245,2.3891660843645326,0.46,0.12,0.24
YIL140W,823,2.91539983521227,0.52,0.06,0.38
YGL006W,1173,3.0692980121155293,0.26,0.14,0.18
YDR443C,1420,3.1522883443830567,0.34,0.18,0.22
YGL095C,577,2.7611758131557314,0.44,0.12,0.36
YDR076W,406,2.6085260335771943,0.48,0.06,0.32
YDR072C,527,2.7218106152125467,0.62,0.08,0.36
YDR073W,169,2.2278867046136734,0.32,0.02,0.3
YDR080W,992,2.9965116721541785,0.2,0.1,0.16
YDR082W,494,2.693726948923647,0.32,0.18,0.22
YDR083W,392,2.593286067020457,0.24,0.28,0.16
YOL020W,592,2.77232170672292,0.18,0.2,0.1
YDL195W,1273,3.1048284036536553,0.5,0.08,0.36
YDL092W,146,2.164352855784437,0.44,0.14,0.28
YFR031C,1170,3.0681858617461617,0.44,0.08,0.32
YER129W,1142,3.0576661039098294,0.34,0.12,0.26
YPL209C,367,2.5646660642520893,0.32,0.22,0.16
YDR297W,349,2.5428254269591797,0.52,0.1,0.3
YMR058W,636,2.803457115648414,0.46,0.08,0.32
YDR208W,779,2.8915374576725643,0.36,0.16,0.24
YDR270W,1004,3.0017337128090005,0.36,0.1,0.32
YPL190C,802,2.9041743682841634,0.3,0.04,0.18
YIR034C,373,2.571708831808688,0.48,0.16,0.36
YDR207C,836,2.9222062774390163,0.3,0.18,0.22
YIL009W,694,2.841359470454855,0.42,0.2,0.3
YDR343C,570,2.7558748556724915,0.36,0.12,0.28
YDR342C,570,2.7558748556724915,0.36,0.12,0.28
YNL169C,500,2.6989700043360187,0.52,0.2,0.3
YGL022W,718,2.8561244442423,0.6,0.1,0.4
YNR052C,433,2.6364878963533656,0.4,0.12,0.18
YDL101C,513,2.7101173651118162,0.26,0.2,0.18
YDR264C,764,2.88309335857569,0.34,0.06,0.28
YPL161C,633,2.801403710017355,0.48,0.06,0.34
YLR088W,614,2.788168371141168,0.64,0.14,0.46
YNL084C,349,2.5428254269591797,0.46,0.16,0.28
YIL046W,640,2.806179973983887,0.3,0.16,0.12
YLR150W,273,2.436162647040756,0.46,0.14,0.28
YGL178W,859,2.9339931638312424,0.44,0.02,0.24
YPL042C,555,2.7442929831226763,0.36,0.14,0.18
YDL143W,528,2.722633922533812,0.44,0.22,0.3
YDR228C,626,2.7965743332104296,0.42,0.08,0.32
YNL267W,1066,3.0277572046905536,0.32,0.2,0.26
YMR008C,664,2.8221680793680175,0.46,0.04,0.38
YPL050C,395,2.59659709562646,0.54,0.1,0.38
YDR142C,375,2.574031267727719,0.42,0.12,0.26
YDR135C,1515,3.180412632838324,0.52,0.04,0.3
YGR020C,118,2.0718820073061255,0.38,0.1,0.3
YMR287C,969,2.9863237770507656,0.34,0.32,0.26
YMR280C,1433,3.1562461903973444,0.34,0.14,0.22
YJL143W,158,2.1986570869544226,0.46,0.12,0.28
YJL191W,138,2.1398790864012365,0.42,0.14,0.32
YDL160C,506,2.7041505168397992,0.26,0.12,0.14
YER015W,744,2.8715729355458786,0.38,0.1,0.26
YLR223C,1085,3.0354297381845483,0.28,0.28,0.16
YPR104C,936,2.9712758487381055,0.3,0.06,0.18
YJR016C,585,2.7671558660821804,0.36,0.18,0.26
YAL026C,1355,3.1319392952104246,0.3,0.16,0.14
YJL207C,2014,3.3040594662175993,0.34,0.16,0.3
YJL204C,840,2.9242792860618816,0.42,0.12,0.34
YJL200C,789,2.89707700320942,0.44,0.2,0.28
YJL196C,310,2.4913616938342726,0.48,0.16,0.2
YAR027W,235,2.3710678622717363,0.4,0.08,0.26
YAR033W,234,2.369215857410143,0.44,0.12,0.28
YGR234W,399,2.6009728956867484,0.4,0.16,0.3
YDL056W,833,2.9206450014067875,0.38,0.22,0.28
YML046W,629,2.798650645445269,0.4,0.06,0.26
YOR209C,429,2.6324572921847245,0.42,0.12,0.26
YMR129W,1337,3.1261314072619846,0.28,0.16,0.08
YAL002W,1274,3.1051694279993316,0.28,0.1,0.18
YAL007C,215,2.3324384599156054,0.62,0.04,0.46
YAR002W,539,2.7315887651867388,0.4,0.26,0.24
YAR003W,426,2.629409599102719,0.46,0.1,0.32
YAR008W,275,2.439332693830263,0.6,0.1,0.4
YAL060W,382,2.582063362911709,0.4,0.12,0.26
YAL059W,212,2.3263358609287517,0.4,0.24,0.3
YAL056W,880,2.9444826721501687,0.34,0.1,0.18
YAL053W,783,2.8937617620579434,0.38,0.08,0.26
YAL051W,1047,3.0199466816788423,0.36,0.08,0.16
YAL048C,662,2.8208579894397,0.46,0.1,0.32
YAL047C,622,2.7937903846908188,0.26,0.16,0.1
YAL046C,118,2.0718820073061255,0.44,0.18,0.24
YAL044C,170,2.230448921378274,0.38,0.16,0.22
YAL042W,415,2.618048096712093,0.44,0.12,0.34
YAL036C,369,2.56702636615906,0.36,0.22,0.3
YAL035W,1002,3.000867721531227,0.3,0.1,0.18
YAL034W-A,289,2.4608978427565478,0.46,0.1,0.32
YAL027W,261,2.416640507338281,0.5,0.14,0.36
YLR292C,193,2.285557309007774,0.44,0.02,0.34
YDR388W,482,2.6830470382388496,0.32,0.2,0.14
YOR206W,710,2.8512583487190755,0.2,0.38,0.16
YOR033C,702,2.846337112129805,0.48,0.12,0.36
YDR484W,641,2.8068580295188172,0.28,0.18,0.16
YEL062W,615,2.788875115775417,0.42,0.14,0.18
YER017C,761,2.8813846567705728,0.46,0.2,0.28
YMR183C,295,2.469822015978163,0.34,0.04,0.18
YGR156W,425,2.6283889300503116,0.42,0.12,0.26
YIL147C,1220,3.0863598306747484,0.54,0.08,0.4
YLR025W,240,2.380211241711606,0.32,0.2,0.22
YGR162W,952,2.9786369483844743,0.16,0.12,0.1
YGL049C,914,2.9609461957338317,0.3,0.14,0.08
YER131W,119,2.0755469613925306,0.4,0.32,0.3
YER125W,809,2.9079485216122722,0.44,0.14,0.3
YER028C,394,2.595496221825574,0.24,0.34,0.08
YOR269W,494,2.693726948923647,0.32,0.18,0.24
YER154W,402,2.60422605308447,0.48,0.18,0.28
YER169W,796,2.900913067737669,0.48,0.14,0.28
YER136W,451,2.6541765418779604,0.34,0.1,0.32
YER123W,524,2.7193312869837265,0.32,0.14,0.24
YER089C,464,2.666517980554881,0.42,0.1,0.26
YEL013W,578,2.761927838420529,0.34,0.08,0.26
YER114C,1040,3.0170333392987803,0.32,0.1,0.18
YEL071W,496,2.6954816764901977,0.48,0.12,0.34
YEL066W,161,2.2068258760318495,0.42,0.14,0.22
YEL056W,401,2.603144372620182,0.46,0.06,0.24
YEL055C,1022,3.009450895798694,0.48,0.16,0.38
YEL031W,1215,3.084576277934331,0.52,0.12,0.3
YEL030W,644,2.808885867359812,0.52,0.16,0.36
YEL026W,126,2.100370545117563,0.48,0.12,0.38
YEL022W,1459,3.1640552918934515,0.42,0.1,0.3
YEL018W,279,2.4456042032735974,0.42,0.12,0.38
YEL016C,493,2.69284691927723,0.52,0.12,0.38
YEL015W,551,2.741151598851785,0.38,0.16,0.28
YEL005C,282,2.450249108319361,0.44,0.16,0.32
YEL003W,111,2.0453229787866576,0.32,0.2,0.26
YER005W,630,2.7993405494535817,0.38,0.1,0.28
YER006W,520,2.716003343634799,0.24,0.46,0.16
YER016W,344,2.53655844257153,0.38,0.06,0.28
YER018C,221,2.3443922736851106,0.38,0.18,0.26
YER019W,477,2.678518379040114,0.3,0.18,0.18
YER029C,196,2.292256071356476,0.44,0.16,0.36
YER033C,1076,3.0318122713303706,0.26,0.18,0.08
YER035W,145,2.161368002234975,0.38,0.22,0.18
YER036C,610,2.785329835010767,0.42,0.3,0.36
YER041W,759,2.8802417758954806,0.48,0.16,0.28
YER049W,644,2.808885867359812,0.28,0.26,0.16
YER050C,138,2.1398790864012365,0.36,0.22,0.24
YER051W,492,2.6919651027673606,0.38,0.16,0.24
YER072W,129,2.110589710299249,0.54,0.12,0.32
YER073W,520,2.716003343634799,0.48,0.12,0.3
YER075C,928,2.967547976218862,0.32,0.12,0.2
YER078C,511,2.708420900134713,0.4,0.2,0.22
YER082C,554,2.74350976472843,0.16,0.36,0.12
YER083C,285,2.45484486000851,0.32,0.22,0.24
YER088C,670,2.8260748027008264,0.34,0.12,0.2
YER092W,125,2.0969100130080562,0.36,0.2,0.3
YER093C,1430,3.155336037465062,0.28,0.18,0.18
YER104W,208,2.3180633349627615,0.26,0.14,0.16
YER105C,1391,3.1433271299920467,0.28,0.2,0.16
YER106W,302,2.4800069429571505,0.26,0.3,0.14
YER107C,365,2.5622928644564746,0.42,0.04,0.26
YER110C,1113,3.0464951643347082,0.4,0.08,0.3
YER112W,187,2.271841606536499,0.4,0.04,0.3
YER116C,274,2.437750562820388,0.24,0.2,0.18
YER118C,367,2.5646660642520893,0.52,0.18,0.3
YER120W,244,2.3873898263387296,0.4,0.1,0.28
YER126C,261,2.416640507338281,0.22,0.38,0.14
YER139C,226,2.3541084391474008,0.4,0.16,0.32
YER141W,486,2.6866362692622934,0.38,0.2,0.3
YER143W,428,2.6314437690131722,0.4,0.06,0.3
YER146W,93,1.9684829485539352,0.52,0.06,0.4
YER147C,624,2.795184589682424,0.34,0.12,0.26
YER157W,801,2.9036325160842376,0.4,0.16,0.32
YER159C,142,2.1522883443830567,0.42,0.08,0.24
YER183C,211,2.3242824552976926,0.46,0.18,0.42
YER062C,250,2.3979400086720375,0.54,0.12,0.36
YGL225W,337,2.5276299008713385,0.44,0.1,0.28
YNL209W,613,2.787460474518415,0.42,0.02,0.3
YNL218W,587,2.7686381012476144,0.34,0.18,0.22
YNL217W,326,2.513217600067939,0.52,0.14,0.36
YNL215W,320,2.505149978319906,0.26,0.1,0.24
YNL207W,425,2.6283889300503116,0.34,0.16,0.22
YNL206C,455,2.6580113966571126,0.38,0.16,0.28
YNL201C,858,2.9334872878487053,0.36,0.08,0.18
YNL196C,298,2.4742162640762553,0.28,0.3,0.18
YIL050W,285,2.45484486000851,0.34,0.14,0.18
YMR038C,249,2.3961993470957363,0.38,0.06,0.26
YFL017W-A,77,1.8864907251724818,0.44,0.14,0.34
YMR135C,455,2.6580113966571126,0.2,0.16,0.1
YMR146C,347,2.5403294747908736,0.32,0.16,0.24
YMR147W,412,2.6148972160331345,0.38,0.22,0.32
YMR148W,148,2.1702617153949575,0.68,0.0,0.38
YMR314W,234,2.369215857410143,0.42,0.12,0.32
YOL038W,254,2.404833716619938,0.38,0.16,0.3
YMR313C,642,2.807535028068853,0.58,0.12,0.4
YDR252W,149,2.173186268412274,0.3,0.28,0.26
YDR113C,373,2.571708831808688,0.4,0.16,0.24
YIL030C,1319,3.1202447955463652,0.3,0.12,0.24
YLR372W,345,2.537819095073274,0.5,0.06,0.3
YGR268C,198,2.296665190261531,0.34,0.2,0.16
YDL007W,437,2.640481436970422,0.26,0.28,0.12
YOL094C,323,2.509202522331103,0.44,0.14,0.28
YGR270W,1379,3.13956426617585,0.28,0.2,0.26
YMR089C,825,2.916453948549925,0.36,0.26,0.28
YNR006W,622,2.7937903846908188,0.44,0.1,0.32
YNR007C,310,2.4913616938342726,0.4,0.12,0.18
YNR008W,661,2.82020145948564,0.16,0.32,0.12
YJR068W,353,2.5477747053878224,0.42,0.2,0.28
YJR035W,1085,3.0354297381845483,0.3,0.08,0.26
YOR377W,525,2.720159303405957,0.34,0.14,0.24
YGL025C,397,2.598790506763115,0.44,0.14,0.34
YJL073W,645,2.809559714635268,0.5,0.1,0.42
YJL072C,213,2.3283796034387376,0.38,0.18,0.2
YJL071W,574,2.7589118923979736,0.32,0.2,0.24
YJL069C,594,2.7737864449811935,0.48,0.04,0.26
YJL062W,830,2.9190780923760737,0.5,0.14,0.32
YJL061W,713,2.8530895298518657,0.44,0.08,0.3
YLR039C,1056,3.0236639181977933,0.42,0.26,0.24
YIL138C,161,2.2068258760318495,0.24,0.2,0.2
YMR301C,690,2.838849090737255,0.52,0.18,0.36
YHR143W-A,70,1.845098040014257,0.36,0.14,0.3
YIL173W,1549,3.190051417759206,0.56,0.1,0.38
YIL156W,1071,3.029789470831856,0.38,0.2,0.24
YIL153W,393,2.5943925503754266,0.4,0.2,0.26
YIL149C,1679,3.225050696138049,0.42,0.16,0.3
YIL146C,529,2.7234556720351857,0.28,0.12,0.18
YIL144W,691,2.8394780473741985,0.28,0.18,0.16
YIL137C,946,2.975891136401793,0.44,0.12,0.28
YIL132C,213,2.3283796034387376,0.44,0.1,0.26
YIL131C,484,2.6848453616444123,0.3,0.08,0.24
YIL130W,964,2.984077033902831,0.2,0.24,0.14
YIL128W,1032,3.0136796972911926,0.48,0.1,0.4
YIL124W,297,2.4727564493172123,0.44,0.12,0.36
YIL123W,476,2.677606952720493,0.44,0.16,0.38
YIL122W,351,2.5453071164658243,0.24,0.18,0.12
YIL121W,542,2.733999286538387,0.38,0.1,0.26
YIL115C,1460,3.164352855784437,0.4,0.1,0.22
YIL109C,926,2.9666109866819346,0.46,0.1,0.18
YIL106W,314,2.496929648073215,0.36,0.12,0.2
YIL105C,686,2.8363241157067516,0.3,0.12,0.22
YIL103W,425,2.6283889300503116,0.24,0.26,0.18
YIL101C,647,2.8109042806687006,0.44,0.12,0.3
YIL097W,516,2.7126497016272113,0.4,0.22,0.28
YIL095W,810,2.90848501887865,0.42,0.08,0.28
YIL094C,371,2.569373909615046,0.46,0.14,0.38
YIL093C,264,2.4216039268698313,0.44,0.16,0.28
YIL091C,721,2.857935264719429,0.2,0.24,0.16
YIL088C,490,2.690196080028514,0.52,0.04,0.46
YIL084C,327,2.514547752660286,0.26,0.24,0.2
YIL083C,365,2.5622928644564746,0.44,0.14,0.24
YIL079C,360,2.5563025007672873,0.38,0.06,0.26
YIL076W,296,2.4712917110589387,0.34,0.1,0.24
YIL071C,444,2.6473829701146196,0.38,0.16,0.26
YIL070C,266,2.424881636631067,0.48,0.18,0.3
YIL065C,155,2.1903316981702914,0.46,0.08,0.28
YIL048W,1151,3.0610753236297916,0.38,0.1,0.2
YIL042C,394,2.595496221825574,0.38,0.22,0.22
YIL036W,587,2.7686381012476144,0.24,0.16,0.18
YIL027C,141,2.14921911265538,0.48,0.14,0.34
YIL026C,1150,3.060697840353612,0.2,0.18,0.18
YIL024C,189,2.2764618041732443,0.36,0.12,0.26
YIL017C,921,2.964259630196849,0.44,0.08,0.36
YIL016W,159,2.2013971243204513,0.4,0.24,0.3
YIL010W,215,2.3324384599156054,0.4,0.24,0.28
YIL008W,99,1.99563519459755,0.46,0.16,0.32
YIL006W,373,2.571708831808688,0.4,0.06,0.26
YIL005W,701,2.8457180179666586,0.54,0.12,0.28
YIL003W,293,2.4668676203541096,0.44,0.1,0.36
YIL002C,946,2.975891136401793,0.34,0.18,0.24
YIR002C,993,2.996949248495381,0.38,0.16,0.28
YIR003W,679,2.8318697742805017,0.4,0.14,0.16
YIR004W,432,2.635483746814912,0.34,0.16,0.24
YIR005W,148,2.1702617153949575,0.32,0.12,0.26
YIR007W,764,2.88309335857569,0.44,0.14,0.28
YIR010W,576,2.7604224834232123,0.38,0.12,0.2
YIR015W,144,2.1583624920952498,0.38,0.2,0.24
YIR017C,187,2.271841606536499,0.36,0.14,0.3
YIR033W,1113,3.0464951643347082,0.38,0.06,0.2
YIR037W,163,2.2121876044039577,0.46,0.16,0.28
YNL002C,322,2.507855871695831,0.24,0.32,0.2
YOR335C,983,2.992553517832136,0.3,0.18,0.18
YNL085W,830,2.9190780923760737,0.4,0.12,0.34
YPR122W,1208,3.082066934285113,0.38,0.1,0.28
YJL097W,217,2.3364597338485296,0.56,0.08,0.38
YJL222W,1549,3.190051417759206,0.56,0.1,0.38
YOR028C,295,2.469822015978163,0.48,0.16,0.18
YJL099W,746,2.8727388274726686,0.34,0.14,0.12
YGL181W,396,2.597695185925512,0.32,0.16,0.2
YGL086W,749,2.8744818176994666,0.38,0.1,0.22
YJL030W,196,2.292256071356476,0.36,0.12,0.26
YMR004W,511,2.708420900134713,0.3,0.04,0.14
YGR132C,287,2.4578818967339924,0.44,0.12,0.36
YMR127C,338,2.5289167002776547,0.28,0.26,0.22
YDR364C,455,2.6580113966571126,0.18,0.2,0.12
YMR168C,608,2.783903579272735,0.24,0.28,0.12
YDR062W,561,2.7489628612561616,0.34,0.14,0.18
YMR319C,552,2.741939077729199,0.34,0.18,0.22
YGR032W,1895,3.2776092143040914,0.18,0.0,0.1
YNL061W,618,2.790988475088816,0.24,0.34,0.14
YJL025W,514,2.710963118995276,0.3,0.12,0.16
YDR478W,198,2.296665190261531,0.32,0.22,0.24
YOR094W,183,2.2624510897304293,0.4,0.2,0.3
YOR234C,107,2.0293837776852097,0.38,0.22,0.3
YIL053W,250,2.3979400086720375,0.56,0.12,0.36
YNL006W,303,2.4814426285023052,0.4,0.14,0.34
YPL028W,398,2.599883072073688,0.46,0.1,0.38
YJL002C,476,2.677606952720493,0.48,0.06,0.28
YFL031W,238,2.376576957056512,0.32,0.24,0.18
YGR188C,1021,3.0090257420869104,0.24,0.14,0.18
YOR113W,914,2.9609461957338317,0.32,0.02,0.12
YLR353W,603,2.780317312140151,0.28,0.06,0.2
YOR125C,233,2.367355921026019,0.4,0.2,0.28
YLL006W,426,2.629409599102719,0.26,0.1,0.16
YLR075W,221,2.3443922736851106,0.36,0.28,0.22
YPR036W,478,2.6794278966121188,0.44,0.14,0.36
YDR420W,1802,3.255754786643044,0.38,0.06,0.34
YDR238C,973,2.988112840268352,0.36,0.08,0.2
YGL137W,889,2.9489017609702137,0.36,0.18,0.22
YNL221C,875,2.942008053022313,0.32,0.22,0.28
YNL068C,862,2.9355072658247128,0.32,0.06,0.2
YNL291C,548,2.738780558484369,0.54,0.1,0.3
YNL271C,1953,3.2907022432878543,0.2,0.14,0.14
YGL192W,600,2.778151250383644,0.36,0.14,0.28
YOR075W,346,2.5390760987927767,0.32,0.14,0.18
YGR186W,735,2.8662873390841948,0.32,0.2,0.08
YGR005C,400,2.6020599913279625,0.26,0.04,0.2
YGR059W,512,2.709269960975831,0.36,0.18,0.2
YJR019C,349,2.5428254269591797,0.5,0.08,0.32
YPL147W,870,2.9395192526186187,0.48,0.2,0.4
YDR005C,395,2.59659709562646,0.34,0.16,0.26
YOL059W,440,2.6434526764861874,0.4,0.28,0.28
YDR002W,201,2.303196057420489,0.32,0.22,0.14
YPL091W,483,2.683947130751512,0.34,0.16,0.28
YLR174W,412,2.6148972160331345,0.44,0.16,0.34
YDL055C,361,2.5575072019056577,0.54,0.12,0.4
YNL142W,499,2.6981005456233897,0.42,0.0,0.24
YDR195W,533,2.7267272090265724,0.46,0.12,0.36
YNL327W,1041,3.017450729510536,0.44,0.14,0.34
YNL326C,336,2.526339277389844,0.56,0.1,0.4
YNL325C,879,2.9439888750737717,0.26,0.2,0.16
YNL323W,414,2.617000341120899,0.34,0.14,0.22
YNL321W,908,2.958085848521085,0.3,0.16,0.2
YNL317W,465,2.667452952889954,0.24,0.16,0.16
YNL310C,174,2.2405492482826,0.5,0.2,0.36
YNL309W,420,2.6232492903979003,0.34,0.2,0.22
YNL308C,591,2.7715874808812555,0.4,0.22,0.32
YGR200C,788,2.8965262174895554,0.48,0.14,0.34
